Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
Js6h,0.14190674,1.13525391,98.7228394,-0.8724613,-0.0507021,0.00000095
Js7h,0.39520264,98.7793088,0.82548857,0.39896488,0.52654552,0.00000095
Js8h,3.13110352,96.8200803,0.0488162,2.62583542,2.62236166,0
Js9h,18.7988281,81.2011838,0,6.23265433,6.22051835,0
JsTh,13.3544922,86.6455197,0,9.56380054,9.55118367,0.00000095
JsJh,99.9847412,0.01525879,0,60.8755913,41.130022,0
Js2s,0.45928955,99.5407224,0,2.53344679,2.66113377,0
Js3s,25.1464844,74.8291135,0.02440214,3.87195396,3.86140871,0.00000095
Js4s,0.74157715,99.1897702,0.06865263,3.5506773,3.5849123,-0.000001
Js5s,8.56323242,91.4367795,0,5.21250439,5.20372009,0.00000095
Js6s,1.83410645,98.1292844,0.03660917,4.90968275,5.02291584,0
